,pred
0,375551.22889865306
1,2411519.7265444994
2,446442.99836192443
3,356608.2776226608
4,614650.0648378468
5,638145.3650837954
6,432338.8568294754
7,205645.00537546317
8,1312996.1007757422
9,372941.80490080704
10,1304776.8226917756
11,582387.8148447812
12,940536.469546475
13,424204.13444778626
14,1150305.9379161713
15,965910.7593898703
16,493555.43658689584
17,386189.43414644926
18,2261551.0225781654
19,1023063.0744549389
20,365121.7941327441
21,380229.23545150337
22,293412.91265966714
23,381530.5872565076
24,1009361.1338011598
25,2037230.7558846686
26,364117.4187114249
27,381895.91097095254
28,920206.4959941806
29,515042.7550001277
30,647026.2935991348
31,687343.8151738864
32,703138.4120680495
33,837676.8462181111
34,443101.2310548508
35,1234853.2875657799
36,165850.92902137656
37,457487.77396108356
38,1035226.7417584028
39,328268.9860403671
40,229775.53338407134
41,214314.99395075918
42,704631.5067632756
43,1070392.537886964
44,1054099.5371003018
45,1355345.7443234825
46,1158557.8289459122
47,957146.1250077982
48,672024.3632221934
49,436996.4870161037
50,347899.8470773472
51,509488.4864700127
52,944292.6602921746
53,205842.35710067613
54,690611.3695951281
55,719079.5786338492
56,645615.019411611
57,1572945.0902060657
58,401921.7130191656
59,563063.8008714194
60,539821.9470783396
61,1161069.4705379535
62,520660.8737237878
63,740868.3846591285
64,581489.3747353251
65,470246.4829678487
66,2204580.3320138357
67,1585333.2549302531
68,652893.1329280112
69,199058.06838191938
70,296353.3197835691
71,182985.24444400455
72,232134.2315986816
73,513203.5606904722
74,272479.7091374737
75,1357673.141492109
76,380768.9079909053
77,759188.5584397485
78,264450.6185633545
79,390846.438956284
80,184340.80605448695
81,958664.4109709511
82,746233.573557299
83,2281154.7077684747
84,578250.9007544295
85,212952.35199319475
86,511126.2924947772
87,288866.43270864326
88,1365241.0236344242
89,796097.0926346565
90,1726379.6725879982
91,464304.107703075
92,386242.93887390743
93,412383.1368305314
94,275335.9587481195
95,465199.859148598
96,440475.138480268
97,400926.773747587
98,602885.1237168218
99,855329.9999999914
100,1739290.5414354524
101,1173518.7511260987
102,725975.2210082393
103,364262.0395694854
104,1552301.1249417434
105,1214773.1867499491
106,1174147.242302449
107,694744.6641693374
108,542394.9237395382
109,406507.1849795378
110,466935.5390244404
111,706963.7999336809
112,291203.03331852995
113,500844.09318069596
114,255948.39791711123
115,568912.3566300719
116,787508.5491459501
117,559593.7080623682
118,2601409.406301618
119,1028381.0517346489
120,953386.9249810148
121,1104083.3329529916
122,501658.1786612301
123,796301.8315853247
124,1112246.6470700526
125,625703.0085986226
126,450800.74254269723
127,869168.1819242905
128,820783.2412684947
129,492115.24245756626
130,429328.26600465196
131,2354806.3226779867
132,1563686.9603645983
133,371372.0407623316
134,955891.8397558809
135,922393.2276586937
136,1298710.5863884655
137,841744.9711088651
138,2632292.655328695
139,210871.37706638715
140,258299.44401536125
141,481615.7180987417
142,424505.4625688659
143,297137.327113255
144,263055.3391434919
145,757364.4675435767
146,674358.6514173063
147,744836.3432981753
148,170000.00000000303
149,412143.05371798953
150,540232.6611835232
151,201573.1282226147
152,403993.69649981835
153,298172.1228619758
154,515361.5122961535
155,291223.8691096018
156,350194.2881393757
157,508930.81874894316
158,732309.0230306359
159,526877.9886840843
160,493865.61767405656
161,720148.7988904912
162,696777.9169522227
163,446070.96724502445
164,454302.18804785935
165,301335.70027758257
166,130781.40744220963
167,261372.64606582414
168,320009.3519739867
169,445070.5647427511
170,548496.3700851706
171,423937.85192707676
172,1189398.1826612435
173,1021052.3356553215
174,678995.6277308222
175,846230.6600354317
176,490372.94160083844
177,902531.877189305
178,1995912.353935831
179,456922.25002676575
180,325342.1729166562
181,975028.1769940709
182,471726.489371698
183,689035.1015900887
184,335123.29887637746
185,584307.1291938968
186,2069142.5068125322
187,277914.1572974638
188,916187.5208090711
189,844486.3323424244
190,443217.45421705017
191,409323.9567402806
192,369631.48390817945
193,343180.5315995711
194,620872.051715155
195,499695.2505213112
196,1238044.9718467453
197,307271.670808435
198,298083.02515752625
199,360256.2716431646
200,747333.7465305661
201,807430.9253645214
202,490273.65270478505
203,680734.5468022935
204,280635.83756771724
205,974710.2994112214
206,948812.2547051575
207,356707.2975951906
208,2151862.555224386
209,523261.7384720012
210,1323553.757306216
211,466577.7912144566
212,565241.5656781066
213,331446.6684890021
214,766323.222794247
215,185568.99999999718
216,1639920.2291171846
217,325890.7341455278
218,486783.7862014595
219,917726.1486984283
220,804235.8505533993
221,742098.2332758768
222,509323.48445314134
223,914695.9277281102
224,496648.0103833706
225,428444.69183721405
226,873399.7648660841
227,861229.8583260643
228,577019.1431901677
229,2005508.989826898
230,423675.89518014854
231,365298.0295337084
232,539288.8238895446
233,722699.3553601345
234,787085.188670136
235,1216255.8371081892
236,440111.0884661218
237,1187669.0274978883
238,331857.9932536767
239,535505.0784896747
240,274186.94597957976
241,572574.0648810869
242,1818913.1217670671
243,327280.26385657943
244,652107.8245624008
245,2080767.4237178217
246,670789.009511602
247,392091.18960529886
248,434710.7646693118
249,1757564.7017295298
