,pred
0,385296.0666666667
1,1899989.94
2,529989.2583333333
3,414093.88
4,608873.86
5,871168.6866666668
6,416078.03
7,196861.99785714288
8,1412060.81
9,441786.6666666666
10,2863581.947404762
11,704602.6666666665
12,660033.02
13,439610.05
14,1173940.0
15,3050331.8733333335
16,460825.0
17,461535.17
18,2785081.52
19,2057340.0
20,367157.07000000007
21,598592.7625
22,299123.51992640697
23,473369.78
24,1067098.88
25,2206815.03
26,416570.0483333333
27,478976.34
28,1050445.1616666662
29,535405.11
30,650438.76
31,923330.0
32,670264.0733333334
33,934893.78
34,418618.52
35,1208100.0
36,182165.82550315015
37,550393.7733333333
38,1144199.8425555557
39,344565.4462224997
40,238075.1839156247
41,242947.62862723117
42,776885.75
43,971298.0
44,1035411.55
45,1441206.99
46,1266410.1559078177
47,1168201.2
48,784925.4880952382
49,494470.33
50,359490.17
51,585220.14
52,949780.15
53,231270.81621424237
54,690700.0
55,780291.6666666665
56,1203095.43
57,1518229.0
58,449264.28
59,846842.7416666667
60,524512.0699300698
61,1541986.655189727
62,664012.22
63,1467346.916666667
64,595650.8766666666
65,494867.75
66,2337285.0
67,1964524.3
68,513278.6785714285
69,189339.10714285713
70,291069.00133477635
71,200945.37127705626
72,289112.5020373655
73,507472.84
74,374419.68
75,1318723.6
76,649803.2465064934
77,813954.01
78,300329.27100396826
79,491335.99
80,170705.50772186145
81,1317496.1309523808
82,728400.0
83,2558425.0
84,637651.1
85,211773.24321428576
86,592197.5193027796
87,289182.48
88,1977519.5577478076
89,1184515.63
90,1984005.0
91,615897.94
92,318535.75333333336
93,465685.43666666665
94,335782.37597619044
95,452076.19
96,592197.5193027796
97,487306.1
98,1214564.0187265512
99,1979274.06
100,2441619.81
101,2431153.4195833337
102,717825.9404761906
103,294507.55
104,1847309.5
105,1298584.69
106,1606959.9
107,812085.0
108,888058.88
109,484125.89
110,450776.73333333334
111,661360.0
112,812975.25
113,550729.98
114,242270.89
115,788263.3
116,930371.0303585302
117,567669.5
118,3121457.9
119,1629783.0
120,918801.06
121,1540740.12
122,541463.0
123,703691.94
124,1187830.6
125,867822.925
126,461201.65
127,938439.35
128,1024931.42
129,673764.9533333335
130,485555.19
131,3427175.0
132,1632421.75
133,512826.75
134,1030017.2733333334
135,1009568.75
136,1068900.0
137,873633.44
138,3369319.78
139,303027.8394001832
140,289743.4639841154
141,349650.29
142,506927.24
143,303608.57333333336
144,561934.66
145,1009238.4
146,869208.096736597
147,764044.498015873
148,238075.1839156247
149,310932.0
150,601176.2050000001
151,194667.56349206352
152,402801.39
153,246490.0
154,577678.5
155,344128.9682539683
156,311010.0
157,545346.6738816737
158,836823.7953333333
159,680554.5923775226
160,512825.0
161,762498.7396346566
162,733978.62
163,657571.28284475
164,504167.25
165,328178.57948616875
166,209722.869047619
167,307208.6
168,348320.73065323563
169,502575.13
170,763784.7410714286
171,478000.77
172,2195825.0
173,957929.6923809522
174,705015.3095238096
175,917098.535
176,548239.15
177,809083.0
178,2013712.95
179,456902.28
180,294180.7341269841
181,1039377.1434121433
182,491947.76
183,656311.5804750804
184,367841.7083333334
185,1061761.5
186,3156007.27
187,379038.5066666667
188,790599.8433333333
189,1780256.1785714284
190,518454.68
191,511917.3846666667
192,349890.62
193,387123.44
194,704179.895
195,545221.0933333334
196,1584201.44
197,347356.86
198,386616.6933333333
199,363949.8433333334
200,863588.2936507941
201,859769.8329448327
202,487867.83
203,870955.0377715771
204,327745.56140548346
205,936749.37
206,857068.96
207,530380.06
208,2694638.61
209,526401.39
210,1236400.0
211,584596.58
212,653450.0
213,409579.57
214,980223.27
215,194272.59
216,1766595.0
217,381906.83
218,562238.06
219,1128956.22
220,807509.76
221,821965.06
222,524603.49
223,1183001.0
224,508023.91
225,393703.2366666667
226,907419.85
227,905168.36
228,544323.5
229,2082691.56
230,495520.4116666666
231,428138.55833333335
232,548835.3
233,1232959.9937176025
234,805795.5566666668
235,2584918.83
236,504148.6914285714
237,1405571.46
238,356909.7476159119
239,575731.9142857143
240,304015.96
241,632703.455
242,1584640.0
243,441883.9566666667
244,740720.0
245,2799123.0
246,1077628.8329711952
247,394558.42
248,404375.5
249,1703750.04
250,834746.64
251,1847294.9600000002
252,311890.4611199496
253,3639828.38
254,667827.47
255,723853.6479878357
256,896921.39
257,347789.7
258,493416.57
259,1258315.0
260,716213.81
261,576219.5
262,334264.0
263,479000.85
264,927497.5
265,438132.14
266,2802978.03
267,1428188.49
268,545800.0
